tag,Emission max (nm),Quantum yield,std_of_emission,std_of_plqy,PI_emission,PTR_plqy,joint_target_prob_indep,sum_log_target_prob,Chromophore
16972,505.9701414086036,0.34968439,335.96140228226403,0.3253424190297059,0.10619127034394327,0.29922101569155923,0.031774659769891654,-3.4490861694417845,II
17407,501.49025620224864,0.34968439,295.84871420814875,0.3249024754001193,0.07617747105857187,0.29914279953176437,0.022787941953711147,-3.7815237445977417,CCCCCCC1(CCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(c6)C(CCCCCC)(CCCCCC)c6cc(-n8c9ccc(-n%10c%11ccccc%11c%11ccccc%11%10)cc9c9cc(-n%10c%11ccccc%11c%11ccccc%11%10)ccc98)ccc6-7)s5)c5nsnc45)s3)ccc2-c2ccc(-n3c4ccc(-n5c6ccccc6c6ccccc65)cc4c4cc(-n5c6ccccc6c6ccccc65)ccc43)cc21
19696,661.7922069858346,0.3420042241559192,129.35444184539705,0.32444373017699457,0.02096484509964447,0.29186188623646825,0.006118839235437613,-5.096382867859195,CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(=S)N(CC)C7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(=S)N(CC)C7=O)cc6CCCCCCCC)s5)s4)sc23)s1
1363,563.2672882230416,0.3490257553242977,171.1339623870053,0.3242439519159758,0.017286794490460333,0.2984047244550867,0.005158461146637526,-5.2671169713631265,Cn1c(=O)c(/N=N/c2ccc(/N=N/c3ccc(S(=O)(=O)O)cc3)cc2)c(O)c2ccccc21
177,668.7416745170281,0.34746850998500334,114.78556721383951,0.32387307244500796,0.012811938221562902,0.29687030338746234,0.0038034839868168035,-5.571837793653619,COc1cc(N2CCOCCOCCN(c3cc(OC)c(NC(=O)c4ccc(-c5c6cc(Cl)c(=O)cc-6oc6cc([O-])c(Cl)cc56)c(C(=O)[O-])c4)cc3OC)CCOCC2)c(OC)cc1NC(=O)c1ccc(-c2c3cc(Cl)c(=O)cc-3oc3cc([O-])c(Cl)cc23)c(C(=O)[O-])c1
19698,641.0279782143216,0.3430876644615949,121.24246534277957,0.32367142280486066,0.009600902290471724,0.292712658861636,0.0028103056369147496,-5.874462033965927,CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc23)s1
6046,543.4530985457831,0.349454190355942,158.98798102056986,0.32354246960468375,0.008211048396475129,0.29867791330777993,0.002452458801128384,-6.010664165390266,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O
15497,650.4251993690455,0.35529286330293897,111.68126764832789,0.3229969674592617,0.006987321909700528,0.3041054892466808,0.002124882947873531,-6.154038561476533,COc1cc(NC2=CC3=c4cc(Nc5cc(OC)cc(OC)c5)c5nc(C(F)(F)C(F)(F)C(F)(F)F)nc6c(Nc7cc(OC)cc(OC)c7)cc(c4c65)C4=CC(Nc5cc(OC)cc(OC)c5)=C5N=C(C(F)(F)C(F)(F)C(F)(F)F)N=C2C5C43)cc(OC)c1
13094,455.7489648154603,0.34965221980073513,189.60100337423185,0.32289972444383114,0.006669966907299818,0.29874437938601694,0.001992615124246555,-6.21830737017528,CC[n+]1c(-c2ccccc2)c2cc(NC(=O)N[C@H]3C[C@@H]([NH3+])[C@H](O)[C@@H](O)[C@@H]3O)ccc2c2ccc(NC(=O)N[C@@H]3C[C@H]([NH3+])[C@@H](O)[C@@H](O)[C@H]3O)cc21
18705,623.9333636118782,0.3509822651765101,119.75233205335583,0.32247667451085493,0.005977336432558045,0.2999252293445851,0.0017927540004047157,-6.324002293769292,CCN(CC)c1ccc([N+]2=Cc3ccc4c5c(ccc4c3O[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C=[N+](c2ccc(N(CC)CC)cc2)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)O5)cc1
