tag,Emission max (nm),Quantum yield,std_of_emission,std_of_plqy,PTR_emission,EI_plqy,acquisition_score,acquisition_mode,Chromophore
14758,608.029648835298,0.7166931748812742,38.95317465645818,0.21546271779305998,0.5816576328436871,0.009216626295580978,0.005360921033892512,constrained_ei,CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c6c(cc(Oc7ccc(C(C)(C)C)cc7)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c2c37)C1=O)c64)C(=O)N(CCCC)C5=O
17898,568.5222440570263,0.8266359877678148,38.6444705482639,0.21395999950572445,0.20766569304998916,0.02462034151879803,0.005112800284628616,constrained_ei,Cc1cc2c(o1)=CC1=Cc3cc4oc(C)cc4n3[B-](F)(F)[N+]=21
17899,594.0167843205527,0.6013378153406576,59.417993883495505,0.2855814271995807,0.45989535296880113,0.010316847720483038,0.004744670323936918,constrained_ei,Cc1cc2c(o1)=CC1=C(C(F)(F)F)c3cc4oc(C)cc4n3[B-](F)(F)[N+]=21
6448,574.5136041014777,0.7695027093339255,38.58765516577949,0.21381719065678484,0.2544727464344658,0.014893149291571782,0.0037899006032847903,constrained_ei,CC1(C)c2ccccc2N(c2ccc3nc4c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)cc5c5cc(N6c7ccccc7C(C)(C)c7ccccc76)ccc5c4nc3c2)c2ccccc21
14763,608.0374741497551,0.7169293514358173,34.93936687538072,0.1967133112861572,0.5909699030078482,0.006387533687504339,0.0037748401637638022,constrained_ei,CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c6c(cc(Oc7ccc(C(C)(C)C)cc7)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c2c37)C1=O)c64)C(=O)N(CCCC)C5=O
17902,568.4762928367933,0.8269990657546017,34.76679922169293,0.19582614055066522,0.18227778469896572,0.019696507597252194,0.003590235771133478,constrained_ei,Cc1cc2c(o1)=CC1=Cc3cc4oc(C)cc4n3[B-](F)(F)[N+]=21
19325,674.73433234086,0.4614259697121402,65.68284182906854,0.29856928619793227,0.872097013738288,0.004112507505101601,0.003586505514175403,constrained_ei,CCC(CC)COC1=CC2=C3c4cc(OCC(CC)CC)c(-c5ccccc5)n4[B-](F)(F)[n+]4c3n(c3cc(C(C)(C)C)ccc34)[B-](F)(F)[N+]2=C1c1ccccc1
14810,670.5110414572607,0.432346973319193,75.27787888081004,0.3112555455781884,0.8243878652819889,0.004080587784305124,0.0033639870525990624,constrained_ei,CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccccc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccccc21
17900,599.0071110346953,0.5471898849741341,58.62842830753729,0.28351411358973866,0.4932439810309397,0.006466045253046407,0.0031893379021388194,constrained_ei,COc1ccc(-c2cc3c(o2)=CC2=Cc4cc5oc(-c6ccc(OC)cc6)cc5n4[B-](F)(F)[N+]=32)cc1
654,628.7211891859401,0.5503560108011274,51.1125908590405,0.26099574695296035,0.7129146953873591,0.004384889671142821,0.0031260522842099614,constrained_ei,CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1
