Tag,emi_pred,qy_pred,in_ad
17606,686.0323487,0.501190859,TRUE
17908,679.5200157,0.821477598,TRUE
17912,679.5200157,0.821477598,TRUE
17916,679.5200157,0.821477598,TRUE
6311,614.1288693,0.522631156,TRUE
6317,614.1288693,0.522631156,TRUE
17899,612.634515,0.834761905,TRUE
17903,612.634515,0.834761905,TRUE
17907,612.634515,0.834761905,TRUE
279,609.1266784,0.719478734,TRUE
281,609.1266784,0.719478734,TRUE
282,609.1266784,0.719478734,TRUE
284,609.1266784,0.719478734,TRUE
285,609.1266784,0.719478734,TRUE
286,609.1266784,0.719478734,TRUE
287,609.1266784,0.719478734,TRUE
288,609.1266784,0.719478734,TRUE
289,609.1266784,0.719478734,TRUE
44,605.9282796,0.924102387,TRUE
51,605.9282796,0.924102387,TRUE
56,605.9282796,0.924102387,TRUE
61,605.9282796,0.924102387,TRUE
71,605.9282796,0.924102387,TRUE
