,y_prediction,y_std,acquisition_function
3791,0.6940087149584686,0.18545506572590928,0.8027710110249473
3796,0.6942644109130259,0.1817465039184938,0.8111729772587877
3801,0.6944871985402992,0.1791572809015235,0.8170932737073322
8426,0.7005121684101203,0.19543239503964563,0.7848451191185146
8427,0.7005752206267171,0.18753087519624861,0.8024212048116305
8428,0.7006288420545708,0.18286310004297987,0.8129114199941248
8430,0.7006744467265505,0.17975248680233422,0.8199375793223869
8431,0.7007138139852312,0.1775117926549333,0.8250135756143955
8432,0.7007483187636553,0.17580668135012867,0.8288835230794156
7889,0.6960907739880524,0.19552977448112374,0.781979910140663
7894,0.6961500381195196,0.18714864160189323,0.8004699623481748
7895,0.6962037058602382,0.18227862544882767,0.8113334400262731
7896,0.6962506194101011,0.17906576244640723,0.8185394726322636
7897,0.6962918217198988,0.17676725743913366,0.8237112320314716
7907,0.6963284155118095,0.17502693155085183,0.8276353756763264
1981,0.7481356659931697,0.20247445793222407,0.783047139457729
8984,0.7544339905392685,0.20367097224895778,0.7802447356239859
8985,0.7545066128740272,0.190619019493469,0.810192954310283
8986,0.7545771265425306,0.18394096188320624,0.8257618474008599
8987,0.7546379958151341,0.17984282776494837,0.8353619618057789
8988,0.7546903040661721,0.17704662308633914,0.8419210699381577
1605,0.7759323498292836,0.2025759268643894,0.7790763919616444
1606,0.7760614256904405,0.1897263014408923,0.8082367970490278
1607,0.7761815386153021,0.183129490157617,0.8234198143974051
1608,0.77628406769167,0.17907450110250928,0.8327861528798779
18417,0.7284627557614682,0.20263879310873173,0.7800997529049023
8989,0.7084843919404149,0.20094082633799284,0.7768338988470282
8990,0.7085379065741289,0.18861945480714104,0.8044061670476504
8991,0.7085921959609457,0.18222125695287683,0.8189489328498167
8992,0.7086398030544846,0.178263698137816,0.8279960414199921
