Tag,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
10561,419.0,433.21293700968545,-14.212937009685447,34.11896087366127
18142,479.0,468.06465553397953,10.935344466020467,28.50015718436322
147,483.0,488.5084991361396,-5.508499136139619,33.35666347458988
2640,329.0,338.86098464367444,-9.860984643674442,33.17240516389637
11097,469.0,480.55975163114084,-11.559751631140841,33.42295676047487
18589,605.0,594.7180326348108,10.281967365189189,33.98639010832274
1571,523.0,526.1486114755091,-3.148611475509142,32.3201093100373
16688,587.0,588.4070239150092,-1.4070239150091766,34.41683959988689
19215,436.0,445.13115589596356,-9.131155895963559,33.41338528411012
1220,576.0,564.457200747759,11.542799252241025,33.72744679350861
7539,525.0,525.0625011910868,-0.062501191086767,34.34921033090491
4560,567.0,568.7165341212519,-1.7165341212519252,30.29888929177664
2690,452.0,450.89726921514597,1.1027307848540318,32.92719692027213
8056,457.0,460.85998747700694,-3.859987477006939,33.70326372133684
2858,405.0058726,439.1847954954207,-34.178922895420726,27.58774207242835
10223,532.0,530.6946329334743,1.3053670665257187,32.74442075290453
7796,536.0,530.3023693090825,5.697630690917549,31.97093316190318
14708,454.0,467.21584156315754,-13.21584156315754,29.68628666563926
3363,398.0,410.4193632958867,-12.419363295886683,34.18809375192029
12111,538.0,539.6693187243959,-1.6693187243959073,32.943431775641784
3854,411.0,415.39225638610935,-4.392256386109352,33.20816032052692
19371,469.0,458.4218067246936,10.578193275306376,32.97055520423617
9732,440.0,442.42509203379086,-2.425092033790861,34.10876419502546
2251,536.0,548.232842154966,-12.232842154965965,33.35415666103134
5730,748.0,737.7482149519274,10.251785048072634,34.6556324769557
4094,475.0,477.6269833153041,-2.6269833153040736,32.665495022633806
19752,554.0,558.5430669259994,-4.543066925999369,30.09178744296843
11750,527.0,517.9924196432089,9.007580356791095,32.66028893714727
12437,498.0,492.2184570201691,5.781542979830874,28.58482050098184
11419,359.0,373.58896167103154,-14.58896167103154,29.042110935100293
3971,437.0,447.31348118529553,-10.31348118529553,29.9758115450611
8484,470.0,476.1827540823101,-6.182754082310112,34.13726374995056
17634,418.0,415.4999518196813,2.500048180318686,32.92736467332129
6924,417.0,414.92351088986646,2.0764891101335365,33.50063054088342
13958,493.0,488.8054103579841,4.194589642015899,33.587318281509404
14142,467.2897196,483.13736609270717,-15.847646492707156,33.47094130924056
588,566.0,561.4822885978858,4.517711402114173,34.177577830244005
1170,390.0,398.1501558581355,-8.15015585813552,32.80577612322624
4396,415.0,394.7585384822548,20.241461517745222,26.83598285340806
18373,445.0,453.07133172892134,-8.071331728921336,33.19906286609216
3146,626.0,619.7149125020586,6.28508749794139,32.858703347940065
17510,464.0,462.9512600173031,1.0487399826968726,33.18420715799472
9088,705.0,698.5454002941091,6.454599705890928,30.167602295395678
3264,658.0,627.3964435012392,30.60355649876078,32.77823725637139
13851,622.0,616.1622437264961,5.837756273503942,33.669453987758956
3644,426.0,434.50177370581406,-8.50177370581406,32.51679901216634
10264,538.0,538.6233599787279,-0.6233599787278763,29.677329148806717
13628,487.0,498.9878642309693,-11.987864230969308,30.084875994037688
19036,590.0,596.155267041536,-6.155267041536035,33.64915241933348
4453,564.0,555.6930609070549,8.306939092945072,33.594514443960584
20159,765.0,750.6742805391893,14.32571946081066,34.33778492644963
12222,485.0,479.25857169567615,5.741428304323847,29.990245727070686
1482,468.0,498.4597954279937,-30.459795427993697,29.549382999682415
7341,423.0,422.9539968543951,0.0460031456049137,33.151835061424116
2615,374.0,379.0767737411386,-5.076773741138595,33.485196768458465
16630,883.0,849.2101998816885,33.78980011831152,34.23886848035005
19259,496.0,496.89094799485,-0.8909479948500234,30.049138902780115
2435,663.0,663.464241709878,-0.46424170987802427,32.65379855236438
3421,614.0,607.5227565351153,6.477243464884737,28.41052461554448
3659,518.0,519.8220883418651,-1.8220883418650828,28.04378188316389
18609,511.0,516.1632935512902,-5.163293551290167,34.55660618057369
11838,469.0,471.7204488832747,-2.7204488832746847,33.75267385882998
2203,518.134715,533.0554286461972,-14.920713646197214,28.47071738085591
8707,452.0,449.72262926943955,2.277370730560449,33.75283991957804
9568,393.0,385.6415365981421,7.358463401857875,32.147520226059086
9990,438.0,441.2977397263471,-3.2977397263471175,33.675901192121806
112,472.0,470.46629868402874,1.533701315971257,34.12019062398459
4305,469.9916452,467.21057873558743,2.781066464412561,33.59512704325884
17472,428.0,432.96271971706153,-4.962719717061532,33.36203853951772
2920,443.0071324,428.3464305338459,14.660701866154113,27.649744930860308
15287,466.0,507.8977305155556,-41.89773051555562,29.99718626339858
12552,450.0,453.8871703000079,-3.887170300007881,32.99832006732728
5641,422.0,423.95253592546374,-1.9525359254637351,28.50842875914161
15326,418.0,426.1875637284446,-8.187563728444616,32.65055577428043
3218,613.0,612.8168601672558,0.18313983274424572,33.845636974212404
13506,473.0,480.3387645311555,-7.338764531155505,34.090199598825386
13492,462.0,468.37057913472006,-6.37057913472006,33.76693198415112
649,649.0,644.3528612037186,4.647138796281411,34.75524662209853
18864,580.0,579.2748791222151,0.7251208777848888,34.68417987417815
19264,440.0,458.53739734168676,-18.537397341686756,33.127216802409336
14499,449.0,453.94696557024076,-4.9469655702407636,33.6277097356061
13738,454.0,460.1221817062772,-6.1221817062772175,32.74191213706059
13444,396.0,404.48971220132506,-8.489712201325062,33.08729146196862
1285,617.0,616.5949674811649,0.40503251883512803,33.9367584168852
